StateFIPCode,ZipCode,StateAbbr,City,Longitude,Latitude,Population,AllocationPercentage
08,80864,CO,YODER,104.21835300,38.77525200,511,.0001550000
08,80903,CO,COLORADO SPRINGS,104.81446600,38.83883200,13972,.0042410000
08,80904,CO,COLORADO SPRINGS,104.85951300,38.85331800,17366,.0052710000
08,80905,CO,COLORADO SPRINGS,104.83699700,38.83769200,3435,.0010430000
08,80906,CO,COLORADO SPRINGS,104.81989300,38.79016400,38856,.0117950000
08,80907,CO,COLORADO SPRINGS,104.81703400,38.87600100,25123,.0076260000
08,80908,CO,COLORADO SPRINGS,104.69333100,39.02374500,6803,.0020650000
08,80909,CO,COLORADO SPRINGS,104.77348300,38.85203800,34887,.0105900000
08,80910,CO,COLORADO SPRINGS,104.77029900,38.81516400,24867,.0075480000
08,80911,CO,COLORADO SPRINGS,104.72232200,38.74566500,22116,.0067130000
08,80913,CO,FORT CARSON,104.78221800,38.74196700,11309,.0034330000
08,80914,CO,CHEYENNE MTN AFB,104.71905200,38.78424100,0,.0000000000
08,80915,CO,COLORADO SPRINGS,104.71342200,38.85584500,18209,.0055270000
08,80916,CO,COLORADO SPRINGS,104.74034000,38.80761900,26402,.0080140000
08,80917,CO,COLORADO SPRINGS,104.73990400,38.88602700,27664,.0083970000
08,80918,CO,COLORADO SPRINGS,104.77344400,38.91292400,36410,.0110520000
08,80919,CO,COLORADO SPRINGS,104.84642000,38.92679500,17468,.0053020000
08,80920,CO,COLORADO SPRINGS,104.76695100,38.94973200,16907,.0051320000
08,80921,CO,COLORADO SPRINGS,104.81404200,39.04867400,3539,.0010740000
08,80922,CO,COLORADO SPRINGS,104.69816100,38.90503000,1836,.0005570000
08,80925,CO,COLORADO SPRINGS,104.66008700,38.73132900,2550,.0007740000
08,80926,CO,COLORADO SPRINGS,104.85051000,38.69807300,1040,.0003160000
08,80928,CO,COLORADO SPRINGS,104.45704300,38.62326100,273,.0000830000
08,80929,CO,COLORADO SPRINGS,104.60785700,38.79683700,197,.0000600000
08,80930,CO,COLORADO SPRINGS,104.52692400,38.82892600,484,.0001470000
08,81001,CO,PUEBLO,104.58482800,38.28787600,28837,.0087530000
08,81003,CO,PUEBLO,104.62337000,38.28427700,13461,.0040860000
08,81004,CO,PUEBLO,104.62782900,38.24406300,25748,.0078160000
08,81005,CO,PUEBLO,104.66003100,38.23515700,26273,.0079750000
08,81006,CO,PUEBLO,104.53183400,38.24465000,12277,.0037270000
08,81007,CO,PUEBLO WEST,104.74326400,38.31997500,4592,.0013940000
08,81008,CO,PUEBLO,104.62843300,38.31325100,5953,.0018070000
08,81020,CO,AGUILAR,104.67692600,37.39330400,928,.0002820000
08,81021,CO,ARLINGTON,103.36974100,38.40677000,28,.0000080000
08,81022,CO,NORTH AVONDALE,104.35968600,38.21160300,1483,.0004500000
08,81023,CO,BEULAH,104.97245000,38.08371200,867,.0002630000
08,81025,CO,BOONE,104.25851000,38.26461400,976,.0002960000
08,81026,CO,BRANDON,102.78190600,38.48513300,1094,.0003320000
08,81027,CO,BRANSON,103.87411500,37.05177500,140,.0000420000
08,81028,CO,BRISTOL,102.34264200,38.13318400,256,.0000780000
08,81029,CO,CAMPO,102.54642300,37.11954700,487,.0001480000
08,81036,CO,CHIVINGTON,102.50536000,38.44414100,123,.0000370000
08,81039,CO,FOWLER,104.02990800,38.12307100,1877,.0005700000
08,81040,CO,FARISITA,105.23739700,37.76375300,428,.0001300000
08,81041,CO,GRANADA,102.32712000,38.05448500,741,.0002250000
